id,listing_url,name,description,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
32649828,https://www.airbnb.com/rooms/32649828,Rental unit in Munich · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,,21958507,Momchil,2014-09-30,"Munich, Germany",within an hour,100%,94%,f,Schwanthalerhöhe,3,3,f,"Munich, Bayern, Germany",Schwanthalerhöhe,48.13638,11.54606,Private room in rental unit,Private room,2,1 shared bath,1,$88.00,1,10,20,2019-04-20,2023-10-09,4.91,4.77,4.5,4.82,4.91,5.0,4.95,f,1,0,1,0,0.35
15902770,https://www.airbnb.com/rooms/15902770,Rental unit in Munich · ★4.86 · 1 bedroom · 2 beds · 1 shared bath,,26750726,Friedrich,2015-01-26,"Munich, Germany",,,,f,,1,1,t,"Munich, Bayern, Germany",Au-Haidhausen,48.136,11.60981,Private room in rental unit,Private room,2,1 shared bath,2,,5,31,332,2016-12-02,2022-12-13,4.86,4.93,4.93,4.89,4.89,4.79,4.79,t,1,0,1,0,3.86
38513406,https://www.airbnb.com/rooms/38513406,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,,7696619,Tilmann,2013-07-24,"Munich, Germany",,,,f,Au - Haidhausen,1,2,t,"Munich, Bayern, Germany",Au-Haidhausen,48.13209,11.59823,Private room in rental unit,Private room,2,1 shared bath,1,$90.00,1,3,3,2019-10-05,2019-12-02,5.0,5.0,5.0,5.0,5.0,5.0,4.67,f,1,0,1,0,0.06
51567793,https://www.airbnb.com/rooms/51567793,Bed and breakfast in Munich · 1 bedroom · 1 bed · 1 shared bath,,78220559,Eric,2016-06-17,"Munich, Germany",within an hour,100%,0%,f,München - Moosach,3,3,t,,Moosach,48.1815,11.50058,Private room in bed and breakfast,Private room,1,1 shared bath,1,$32.00,1,365,1,2021-09-15,2021-09-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,0,2,0,0.04
53302272,https://www.airbnb.com/rooms/53302272,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 bath,,7848239,Amani,2013-07-31,"Munich, Germany",,,,f,,1,2,t,,Ludwigsvorstadt-Isarvorstadt,48.12936,11.57515,Entire rental unit,Entire home/apt,2,1 bath,1,,3,365,3,2022-01-01,2022-05-27,5.0,5.0,4.33,4.67,5.0,5.0,4.0,f,1,1,0,0,0.12
579072181773219501,https://www.airbnb.com/rooms/579072181773219501,Rental unit in Munich · 1 bedroom · 1 bed · 1 shared bath,,33338417,Ragnheidur Björk,2015-05-14,"Munich, Germany",,,20%,f,,1,1,t,"Munich, Bayern, Germany",Schwabing-West,48.16252359822109,11.573971811897497,Private room in rental unit,Private room,2,1 shared bath,1,,2,60,1,2023-08-25,2023-08-25,5.0,5.0,5.0,5.0,5.0,4.0,4.0,f,1,0,1,0,0.24
780331427422654587,https://www.airbnb.com/rooms/780331427422654587,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 bath,,376961462,Vonder,2020-11-25,,within an hour,94%,96%,f,,85,95,t,,Aubing-Lochhausen-Langwied,48.13946300000001,11.4092088,Entire rental unit,Entire home/apt,1,1 bath,1,$95.00,6,180,4,2023-05-06,2023-10-06,5.0,4.5,4.75,5.0,4.75,4.0,4.75,t,76,76,0,0,0.51
28953693,https://www.airbnb.com/rooms/28953693,Rental unit in Munich · ★4.88 · 1 bedroom · 2 beds · 1 bath,,19758784,Julia,2014-08-10,"Munich, Germany",within an hour,100%,100%,t,Feldmoching - Hasenbergl,1,1,t,"Munich, Bayern, Germany",Feldmoching-Hasenbergl,48.2135,11.54017,Entire rental unit,Entire home/apt,2,1 bath,2,$45.00,2,5,175,2018-11-02,2023-12-14,4.88,4.93,4.91,4.97,4.95,4.89,4.89,f,1,1,0,0,2.79
907792597888608024,https://www.airbnb.com/rooms/907792597888608024,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,,20505789,Karin,2014-08-25,"Munich, Germany",within an hour,100%,54%,f,,1,1,t,"Munich, Bayern, Germany",Ramersdorf-Perlach,48.10759892872583,11.622928784631554,Private room in rental unit,Private room,1,1 shared bath,1,$39.00,1,14,4,2023-08-19,2023-11-10,5.0,5.0,5.0,5.0,5.0,4.75,5.0,f,1,0,1,0,0.92
693310410278854796,https://www.airbnb.com/rooms/693310410278854796,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,,9865054,Olga,2013-11-07,"Munich, Germany",,,67%,f,,2,2,t,,Obergiesing,48.10896,11.5919,Private room in rental unit,Private room,1,1 shared bath,1,$69.00,3,1125,5,2022-09-19,2023-06-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,1,1,0,0.32
37858503,https://www.airbnb.com/rooms/37858503,Rental unit in Munich · ★4.91 · 1 bedroom · 1 bed · 1 bath,,150161997,Ovidiu,2017-09-11,"Munich, Germany",a few days or more,17%,29%,t,Altbogenhausen,3,3,t,,Bogenhausen,48.14081,11.61388,Private room in rental unit,Private room,2,1 bath,1,$80.00,3,11,35,2019-09-27,2023-03-16,4.91,4.97,4.77,4.94,5.0,5.0,4.86,f,2,0,2,0,0.68
933435818549851924,https://www.airbnb.com/rooms/933435818549851924,Rental unit in Munich · 1 bedroom · 1 bed · 1 shared bath,,49267615,Julia,2015-11-17,"Munich, Germany",within a day,100%,0%,f,,1,1,t,"Munich, Bayern, Germany",Ludwigsvorstadt-Isarvorstadt,48.12603,11.55047,Private room in rental unit,Private room,1,1 shared bath,1,,4,60,0,,,,,,,,,,f,1,0,1,0,
933766709444239467,https://www.airbnb.com/rooms/933766709444239467,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,,525196297,Sascha,2023-07-12,"Munich, Germany",within a few hours,100%,94%,t,,1,1,t,"Munich, Bayern, Germany",Milbertshofen-Am Hart,48.18363,11.5776,Private room in rental unit,Private room,2,1 shared bath,1,$69.00,1,45,14,2023-07-17,2023-11-04,5.0,5.0,4.93,5.0,5.0,4.71,4.93,f,1,0,1,0,2.58
957700683908201259,https://www.airbnb.com/rooms/957700683908201259,Rental unit in Munich · ★5.0 · Studio · 1 bed · 0 shared baths,,442804472,Charlotte,2022-01-30,"Munich, Germany",within a few hours,100%,82%,f,,1,1,t,"Munich, Bayern, Germany",Au-Haidhausen,48.13510604538688,11.60903039620086,Private room in rental unit,Private room,1,0 shared baths,1,$73.00,2,7,9,2023-09-05,2023-12-03,5.0,5.0,5.0,5.0,4.89,4.89,4.89,f,1,0,1,0,2.39
951926225291408671,https://www.airbnb.com/rooms/951926225291408671,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,,30541368,Michelle,2015-04-03,"Munich, Germany",within an hour,100%,0%,f,,1,1,t,,Au-Haidhausen,48.12258,11.59082,Entire rental unit,Entire home/apt,2,1 bath,1,$66.00,60,95,0,,,,,,,,,,f,1,1,0,0,
956350487636827334,https://www.airbnb.com/rooms/956350487636827334,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,,60444938,Lena,2016-02-26,,within a day,100%,50%,f,,2,2,t,,Ludwigsvorstadt-Isarvorstadt,48.12612713585168,11.570571336532725,Entire rental unit,Entire home/apt,2,1 bath,1,,1,365,2,2023-09-19,2023-11-30,5.0,5.0,5.0,5.0,4.0,5.0,5.0,f,2,2,0,0,0.61
696150541232012680,https://www.airbnb.com/rooms/696150541232012680,Serviced apartment in Munich · ★4.67 · 1 bedroom · 1 bed · 1 bath,,376961462,Vonder,2020-11-25,,within an hour,94%,96%,f,,85,95,t,,Aubing-Lochhausen-Langwied,48.13909719999999,11.4094201,Entire serviced apartment,Entire home/apt,2,1 bath,1,$95.00,4,180,3,2023-03-19,2023-11-10,4.67,5.0,4.33,4.0,3.33,4.0,4.0,f,76,76,0,0,0.32
961398105469635737,https://www.airbnb.com/rooms/961398105469635737,Rental unit in Munich · ★4.83 · 2 bedrooms · 3 beds · 1 bath,,69085120,Emil,2016-04-26,"Munich, Germany",within an hour,100%,77%,f,,3,3,t,,Bogenhausen,48.158245,11.6409672,Entire rental unit,Entire home/apt,4,1 bath,3,$300.00,2,56,6,2023-11-13,2023-12-17,4.83,4.83,4.83,4.83,5.0,4.67,4.67,f,3,3,0,0,4.09
